Living Type,House,Diet,How Often Water,Heating Energy Source,Transport,Buying Activity,Frequency Traveling Air,Waste Bag Weekly Count,Energy Efficiency,Recycling,Cooking With,Total,Vehicle Monthly Distance
yes,small,pescatarian,7,coal,public,10,10,4,No,['Metal'],"['Stove', 'Oven']",86,210
yes,large,vegetarian,3,gas,bikewalk,10,5,3,No,['Metal'],"['Stove', 'Microwave']",31,9
yes,small,omnivore,7,gas,gasoline,5,5,1,Yes,['Metal'],"['Oven', 'Microwave']",50,2472
yes,small,omnivore,7,gas,hybrid,10,5,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",17,74
yes,large,vegetarian,7,coal,gasoline,10,10,1,Yes,['Paper'],['Oven'],90,8457
yes,small,vegetarian,3,gas,public,10,10,1,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",27,658
no,large,vegan,3,gas,gasoline,5,5,4,Yes,['Paper'],"['Grill', 'Airfryer']",65,5363
no,large,vegan,7,coal,bikewalk,10,10,3,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",62,54
yes,small,omnivore,7,gas,public,5,10,3,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",40,1376
no,large,pescatarian,7,gas,hybrid,10,5,1,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",29,440
no,large,vegetarian,7,gas,public,5,5,4,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",54,1561
yes,small,vegetarian,7,coal,bikewalk,5,10,5,Yes,['Paper'],"['Stove', 'Oven', 'Microwave']",56,69
no,large,omnivore,7,coal,bikewalk,10,5,3,Yes,['Plastic'],['Stove'],40,92
no,large,vegan,3,electricity,gasoline,10,5,6,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",77,2893
yes,small,pescatarian,3,gas,public,10,5,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",63,1989
yes,large,vegetarian,3,electricity,public,5,10,6,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",69,692
no,small,pescatarian,7,electricity,bikewalk,10,10,4,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",18,7
yes,large,pescatarian,7,gas,public,10,5,6,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",62,948
no,small,vegan,7,electricity,gasoline,10,10,2,Yes,['Paper'],['Stove'],78,7622
no,large,omnivore,7,gas,bikewalk,10,5,4,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",42,51
no,small,vegan,7,electricity,gasoline,10,5,6,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",90,2237
yes,large,pescatarian,3,gas,public,5,5,1,No,['Metal'],"['Stove', 'Oven', 'Microwave']",39,1804
yes,small,omnivore,7,gas,Electric,10,5,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",22,85
yes,small,vegetarian,7,coal,gasoline,10,10,4,Yes,"['Paper', 'Glass']",['Microwave'],86,472
yes,small,vegan,7,coal,gasoline,10,10,1,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",78,5737
yes,large,pescatarian,3,electricity,bikewalk,10,5,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",15,88
no,large,vegan,7,electricity,public,10,10,4,Yes,['Metal'],"['Oven', 'Grill', 'Airfryer']",44,558
yes,small,vegetarian,3,electricity,public,10,5,3,Yes,['Plastic'],['Stove'],19,752
yes,small,pescatarian,7,gas,bikewalk,5,5,2,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",12,71
no,large,omnivore,3,electricity,public,5,10,2,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",23,1028
yes,large,vegan,7,gas,public,10,10,4,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",40,1527
no,large,vegetarian,7,coal,bikewalk,10,10,5,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",62,88
no,large,pescatarian,7,gas,bikewalk,5,10,4,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",52,73
no,large,pescatarian,7,gas,gasoline,10,10,5,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",124,8320
no,small,vegetarian,7,coal,electric,10,5,6,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",62,72
no,large,vegan,3,coal,electric,10,10,2,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",47,9
yes,small,vegetarian,7,electricity,electric,10,10,2,Yes,"['Plastic', 'Glass']",[‘Oven'],20,60
no,small,vegan,7,gas,electric,10,10,5,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",86,13
no,small,omnivore,3,gas,electric,5,5,6,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",37,32
no,large,pescatarian,3,coal,electric,5,10,1,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",51,49
yes,large,omnivore,7,electricity,electric,5,10,1,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",28,1351
no,large,vegetarian,7,coal,electric,10,10,2,No,"['Glass', 'Metal']","['Stove', 'Oven']",82,1726
no,large,omnivore,7,electricity,public,10,5,7,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",72,1021
no,large,pescatarian,7,coal,electric,10,5,5,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",74,62
yes,small,omnivore,7,gas,gasoline,10,10,5,Yes,['Glass'],['Oven'],108,9488
no,small,vegetarian,7,gas,electric,5,10,4,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",68,1037
no,small,pescatarian,3,gas,gasoline,5,5,2,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",41,9555
no,small,pescatarian,7,electricity,gasoline,5,5,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",84,9031
yes,large,vegetarian,7,gas,electric,10,10,7,Yes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",76,1461
yes,large,vegan,7,gas,electric,5,10,3,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",42,39
yes,large,vegan,3,gas,electric,10,5,6,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",65,5033
no,small,vegan,7,electricity,electric,10,10,4,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",40,1065
no,small,pescatarian,3,gas,electric,10,5,5,Yes,"['Paper', 'Glass']",['Oven'],43,927
yes,small,vegetarian,7,electricity,electric,5,10,1,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],22,2277
yes,large,omnivore,7,gas,electric,5,5,7,Yes,['Metal'],"['Stove', 'Microwave']",56,97
no,small,vegan,3,coal,electric,10,10,2,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",55,7272
yes,large,vegetarian,3,electricity,gasoline,10,5,3,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",81,5260
yes,large,pescatarian,7,coal,public,10,5,1,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",34,1750
yes,small,vegetarian,7,gas,gasoline,10,10,4,Yes,['Metal'],"['Stove', 'Oven', 'Microwave']",90,2998
no,small,pescatarian,3,gas,gasoline,10,5,5,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",89,9147
yes,small,pescatarian,7,electricity,public,5,5,3,Yes,['Paper'],['Stove'],22,1947
yes,large,vegetarian,3,electricity,gasoline,10,10,1,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",67,4885
yes,large,omnivore,7,electricity,bikewalk,5,10,4,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",34,20
yes,small,vegetarian,3,coal,bikewalk,10,5,1,No,['Glass'],['Stove'],29,23
yes,small,omnivore,7,electricity,bikewalk,10,10,5,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",34,34
yes,large,vegetarian,7,coal,bikewalk,5,10,1,Yes,['Paper'],"['Stove', 'Oven']",36,59
no,large,vegetarian,3,gas,public,10,5,6,Yes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",57,682
yes,large,vegetarian,3,gas,electric,10,5,6,Yes,['Glass'],"['Stove', 'Microwave']",51,10
no,large,vegan,7,electricity,electric,10,10,1,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",26,10
no,small,omnivore,7,coal,electric,10,5,1,No,"['Paper', 'Plastic']","['Stove', 'Oven']",60,7964
no,large,omnivore,7,coal,electric,10,5,3,Yes,"['Plastic', 'Metal']",['Stove'],56,3606
no,small,vegan,3,gas,electric,10,10,2,Yes,['Plastic'],['Oven'],33,536
no,small,omnivore,7,gas,electric,5,5,5,No,['Metal'],"['Oven', 'Microwave']",66,1564
yes,small,vegan,7,electricity,electric,5,10,4,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",48,78
no,large,omnivore,7,gas,electric,10,5,1,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",48,98
no,large,pescatarian,7,gas,gasoline,5,10,1,Yes,['Plastic'],"['Grill', 'Airfryer']",84,1820
yes,small,vegan,7,gas,public,5,5,4,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",20,243
